,name,type,EFA,thc_input,cbd_input
10,Aloha,Hybrid,"Energetic, Uplifted, Happy, Creative, Focused, Dry Mouth, Anxious, Sweet, Citrus, Depression, Stress, Pain",861.6176470588235,16.0
11,Amnesia Haze,Hybrid,"Happy, Uplifted, Euphoric, Energetic, Creative, Dry Mouth, Paranoid, Anxious, Citrus, Lemon, Earthy, Stress, Depression, Pain",861.6176470588235,16.0
12,Anesthesia,Indica,"Hungry, Sleepy, Happy, Euphoric, Creative, Paranoid, Anxious, Earthy, Pain, Stress, Insomnia, Lack of Appetite",858.4444444444445,13.0
13,BC Sweet Tooth,Hybrid,"Uplifted, Happy, Relaxed, Sleepy, Euphoric, Dry Mouth, Paranoid, Sweet, Honey, Stress, Insomnia, Depression, Nausea, Pain",861.6176470588235,16.0
14,Berkeley,Hybrid,"Talkative, Happy, Uplifted, Energetic, Focused, Anxious, Dry Mouth, Paranoid, Citrus, Sweet, Stress, Depression, Lack of Appetite, Pain",861.6176470588235,16.0
15,Berry White,Hybrid,"Relaxed, Happy, Euphoric, Uplifted, Sleepy, Dry Mouth, Paranoid, Anxious, Berry, Sweet, Blueberry, Stress, Pain, Depression, Insomnia",1600.0,16.0
16,Big Bud,Hybrid,"Relaxed, Sleepy, Hungry, Happy, Euphoric, Dry Mouth, Paranoid, Earthy, Stress, Pain, Insomnia, Depression, Muscle Spasms",127.0,16.0
17,Big Wreck,Hybrid,"Euphoric, Relaxed, Uplifted, Tingly, Happy, Dry Mouth, Paranoid, Earthy, Stress, Insomnia, Depression, Lack of Appetite, Muscle Spasms",861.6176470588235,16.0
18,Black Domina,Hybrid,"Relaxed, Sleepy, Euphoric, Happy, Uplifted, Dry Mouth, Paranoid, Pine, Pepper, Stress, Depression, Pain, Insomnia, Lack of Appetite",127.0,16.0
19,Black Label Kush,Indica,"Euphoric, Relaxed, Sleepy, Happy, Uplifted, Dry Mouth, Paranoid, Berry, Stress, Pain, Insomnia, Depression, Inflammation",858.4444444444445,13.0
20,Blackberry Hashplant,Indica,"Euphoric, Sleepy, Uplifted, Energetic, Happy, Dry Mouth, Paranoid, Berry, Sweet, Earthy, Pain, Stress, Insomnia, Nausea",858.4444444444445,13.0
21,Blackberry Kush,Hybrid,"Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid, Anxious, Berry, Sweet, Earthy, Stress, Pain, Insomnia, Depression, Nausea",1300.0,16.0
22,Blue Bayou,Hybrid,"Uplifted, Creative, Happy, Sleepy, Dry Mouth, Sweet, Nausea, Stress, Depression",861.6176470588235,16.0
23,Blue Cheese,Hybrid,"Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Anxious, Blueberry, Stress, Insomnia, Pain, Depression",127.0,16.0
24,Blue Mystic,Hybrid,"Relaxed, Happy, Uplifted, Sleepy, Dry Mouth, Paranoid, Anxious, Blueberry, Earthy, Sweet, Stress, Depression, Nausea",861.6176470588235,16.0
25,Blue Satellite,Hybrid,"Happy, Energetic, Horny, Uplifted, Euphoric, Dry Mouth, Paranoid, Sweet, Blueberry, Stress, Pain, Nausea, Inflammation",861.6176470588235,16.0
26,Blueberry,Hybrid,"Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Paranoid, Anxious, Blueberry, Sweet, Berry, Stress, Pain, Depression, Insomnia, Lack of Appetite",1600.0,16.0
27,Blueberry Kush,Indica,"Relaxed, Happy, Euphoric, Sleepy, Hungry, Dry Mouth, Paranoid, Blueberry, Berry, Sweet, Pain, Stress, Insomnia, Depression, Lack of Appetite",127.0,13.0
28,Brainstorm Haze,Hybrid,"Talkative, Happy, Uplifted, Focused, Energetic, Dry Mouth, Anxious, Sweet, Earthy, Pain, Muscle Spasms, Stress, Depression, Nausea",861.6176470588235,16.0
29,Bubba Kush,Hybrid,"Relaxed, Happy, Sleepy, Euphoric, Hungry, Dry Mouth, Anxious, Paranoid, Earthy, Sweet, Pain, Stress, Insomnia, Depression, Lack of Appetite",1800.0,16.0
30,Bubba OG,Hybrid,"Relaxed, Happy, Sleepy, Uplifted, Euphoric, Dry Mouth, Paranoid, Earthy, Sweet, Stress, Pain, Depression, Insomnia, Nausea",1600.0,16.0
31,C13 Haze,Hybrid,"Euphoric, Creative, Uplifted, Energetic, Dry Mouth, Paranoid, Earthy, Lemon, Pain, Stress, Muscle Spasms, Depression, Nausea",861.6176470588235,16.0
32,Cannalope Haze,Hybrid,"Happy, Relaxed, Focused, Uplifted, Euphoric, Dry Mouth, Paranoid, Anxious, Sweet, Lime, Depression, Stress, Pain, Nausea",127.0,16.0
33,Casey Jones,Hybrid,"Euphoric, Energetic, Uplifted, Happy, Talkative, Dry Mouth, Paranoid, Anxious, Sweet, Earthy, Depression, Stress, Pain, Inflammation",127.0,16.0
34,Cat Piss,Hybrid,"Happy, Energetic, Creative, Uplifted, Euphoric, Dry Mouth, Paranoid, Anxious, Ammonia, Earthy, Stress, Depression, Pain, Lack of Appetite",861.6176470588235,16.0
35,Chocolate Kush,Hybrid,"Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid, Earthy, Coffee, Sweet, Stress, Pain, Insomnia, Lack of Appetite",861.6176470588235,16.0
36,Chocolope,Sativa,"Happy, Energetic, Uplifted, Euphoric, Creative, Dry Mouth, Anxious, Paranoid, Earthy, Coffee, Sweet, Stress, Depression, Pain, Lack of Appetite",1900.0,30.0
37,Church OG,Hybrid,"Relaxed, Happy, Uplifted, Creative, Horny, Dry Mouth, Paranoid, Earthy, Citrus, Stress, Depression, Pain, Insomnia",127.0,20.0
38,Cracker Jack,Hybrid,"Uplifted, Energetic, Focused, Creative, Talkative, Dry Mouth, Paranoid, Citrus, Stress, Depression, Lack of Appetite, Nausea",861.6176470588235,16.0
39,Critical Mass,Hybrid,"Relaxed, Happy, Sleepy, Uplifted, Focused, Dry Mouth, Anxious, Paranoid, Earthy, Sweet, Stress, Pain, Depression, Insomnia, Inflammation",861.6176470588235,16.0
40,Darth Vader OG,Indica,"Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid, Grape, Earthy, Sweet, Insomnia, Stress, Pain, Depression",127.0,13.0
41,Death Star,Hybrid,"Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Anxious, Paranoid, Earthy, Stress, Pain, Depression, Insomnia, Nausea",861.6176470588235,16.0
42,Deep Purple,Hybrid,"Relaxed, Euphoric, Sleepy, Happy, Tingly, Dry Mouth, Anxious, Grape, Earthy, Sweet, Stress, Pain, Depression, Insomnia, Lack of Appetite",127.0,16.0
43,Diablo,Hybrid,"Relaxed, Happy, Euphoric, Uplifted, Sleepy, Dry Mouth, Anxious, Paranoid, Earthy, Stress, Pain, Insomnia, Depression, Inflammation",1700.0,16.0
44,DJ Short Blueberry,Indica,"Relaxed, Happy, Euphoric, Uplifted, Creative, Dry Mouth, Anxious, Blueberry, Sweet, Berry, Stress, Insomnia, Pain, Depression, Lack of Appetite",858.4444444444445,13.0
45,Double Diesel,Hybrid,"Creative, Happy, Focused, Energetic, Euphoric, Dry Mouth, Paranoid, Lime, Citrus, Depression, Stress, Pain, Insomnia",861.6176470588235,16.0
46,Durban Poison,Sativa,"Uplifted, Happy, Energetic, Focused, Euphoric, Dry Mouth, Paranoid, Anxious, Earthy, Sweet, Pine, Depression, Stress, Pain, Nausea",127.0,30.0
47,Early Girl,Indica,"Relaxed, Happy, Uplifted, Euphoric, Hungry, Dry Mouth, Anxious, Paranoid, Citrus, Earthy, Sweet, Stress, Pain, Depression, Muscle Spasms, Lack of Appetite",858.4444444444445,13.0
48,East Coast Sour Diesel,Sativa,"Happy, Focused, Energetic, Uplifted, Euphoric, Dry Mouth, Paranoid, Anxious, Citrus, Lemon, Muscle Spasms, Stress, Pain, Depression, Inflammation",127.0,30.0
49,Fire Haze,Sativa,"Focused, Euphoric, Happy, Relaxed, Uplifted, Dry Mouth, Paranoid, Anxious, Sweet, Berry, Earthy, Stress, Depression, Pain",127.0,30.0
50,Frostbite,Sativa,"Sleepy, Happy, Relaxed, Tingly, Uplifted, Dry Mouth, Earthy, Skunk, Berry, Depression, Insomnia, Pain, Lack of Appetite, Stress",924.3125,30.0
51,Fucking Incredible,Hybrid,"Relaxed, Euphoric, Happy, Uplifted, Dry Mouth, Paranoid, Anxious, Skunk, Earthy, Pain, Stress, Depression, Insomnia",861.6176470588235,16.0
52,God Bud,Hybrid,"Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Paranoid, Anxious, Earthy, Sweet, Stress, Pain, Depression, Inflammation, Insomnia",861.6176470588235,16.0
53,Godberry,Indica,"Relaxed, Sleepy, Happy, Euphoric, Dry Mouth, Paranoid, Berry, Blueberry, Sweet, Insomnia, Pain, Stress, Muscle Spasms, Depression",858.4444444444445,13.0
54,Goo,Hybrid,"Sleepy, Relaxed, Hungry, Euphoric, Happy, Dry Mouth, Paranoid, Berry, Sweet, Blueberry, Pain, Stress, Insomnia, Lack of Appetite, Muscle Spasms",1300.0,16.0
55,Grand Hindu,Indica,"Relaxed, Sleepy, Happy, Horny, Creative, Dry Mouth, Paranoid, Grape, Citrus, Inflammation, Pain, Stress",858.4444444444445,13.0
56,Grape Ape,Hybrid,"Relaxed, Sleepy, Happy, Euphoric, Uplifted, Dry Mouth, Anxious, Grape, Sweet, Berry, Stress, Pain, Insomnia, Depression",1600.0,16.0
57,Grape Crush,Indica,"Relaxed, Euphoric, Happy, Uplifted, Creative, Dry Mouth, Grape, Sweet, Berry, Stress, Pain, Depression, Muscle Spasms, Insomnia",858.4444444444445,13.0
58,Grape Skunk,Hybrid,"Happy, Uplifted, Talkative, Energetic, Relaxed, Dry Mouth, Skunk, Earthy, Grape, Nausea, Stress, Pain, Depression, Insomnia",127.0,16.0
59,Grapefruit,Hybrid,"Happy, Energetic, Euphoric, Relaxed, Uplifted, Dry Mouth, Paranoid, Citrus, Sweet, Stress, Depression, Pain",127.0,40.0
60,Grapefruit Haze,Hybrid,"Uplifted, Happy, Euphoric, Relaxed, Talkative, Dry Mouth, Paranoid, Anxious, Lemon, Citrus, Stress, Depression, Pain, Muscle Spasms",861.6176470588235,16.0
61,Gravity,Hybrid,"Sleepy, Hungry, Relaxed, Horny, Euphoric, Dry Mouth, Paranoid, Sweet, Citrus, Rose, Stress, Depression, Pain, Insomnia",861.6176470588235,16.0
62,Green Candy,Hybrid,"Happy, Uplifted, Relaxed, Energetic, Focused, Dry Mouth, Paranoid, Anxious, Sweet, Pine, Earthy, Depression, Stress, Nausea, Pain, Insomnia",127.0,16.0
63,Green Crack,Hybrid,"Energetic, Happy, Uplifted, Focused, Euphoric, Dry Mouth, Anxious, Paranoid, Citrus, Sweet, Earthy, Stress, Depression, Pain",1700.0,16.0
64,Green Crack Extreme,Sativa,"Energetic, Talkative, Uplifted, Creative, Focused, Dry Mouth, Paranoid, Sweet, Earthy, Stress, Depression, Pain, Nausea",127.0,30.0
65,Green Goblin,Sativa,"Uplifted, Focused, Happy, Creative, Euphoric, Dry Mouth, Paranoid, Anxious, Pine, Citrus, Lack of Appetite, Stress, Depression, Insomnia",924.3125,30.0
66,Green Kush,Hybrid,"Euphoric, Hungry, Energetic, Sleepy, Relaxed, Dry Mouth, Paranoid, Citrus, Sweet, Earthy, Stress, Pain, Depression, Nausea, Insomnia",861.6176470588235,16.0
67,Harlequin,Hybrid,"Relaxed, Focused, Uplifted, Happy, Energetic, Dry Mouth, Anxious, Earthy, Sweet, Stress, Pain, Depression, Inflammation",600.0,1000.0
68,Hash Plant,Indica,"Relaxed, Sleepy, Happy, Hungry, Euphoric, Dry Mouth, Paranoid, Earthy, Stress, Pain, Insomnia, Depression",127.0,13.0
69,Hashberry,Hybrid,"Relaxed, Happy, Euphoric, Uplifted, Tingly, Dry Mouth, Paranoid, Anxious, Berry, Sweet, Pain, Insomnia, Lack of Appetite, Muscle Spasms",861.6176470588235,16.0
70,Hashplant Haze,Sativa,"Happy, Uplifted, Relaxed, Euphoric, Sleepy, Dry Mouth, Anxious, Blueberry, Sweet, Orange, Pain, Stress, Depression, Insomnia",924.3125,30.0
71,Hawaiian Delight,Indica,"Happy, Relaxed, Horny, Uplifted, Euphoric, Dry Mouth, Paranoid, Sweet, Pain, Stress, Nausea, Depression",858.4444444444445,13.0
72,Hawaiian Sativa,Hybrid,"Uplifted, Euphoric, Happy, Relaxed, Sleepy, Dry Mouth, Paranoid, Citrus, Sweet, Nausea, Stress, Depression, Insomnia, Pain",861.6176470588235,16.0
73,Haze,Hybrid,"Euphoric, Uplifted, Happy, Energetic, Creative, Dry Mouth, Paranoid, Anxious, Earthy, Sweet, Stress, Depression, Pain",127.0,16.0
74,Hempstar,Sativa,"Happy, Focused, Relaxed, Euphoric, Uplifted, Dry Mouth, Paranoid, Earthy, Stress, Depression, Nausea, Pain, Lack of Appetite",924.3125,30.0
75,Hindu Kush,Hybrid,"Relaxed, Sleepy, Euphoric, Happy, Hungry, Dry Mouth, Anxious, Paranoid, Earthy, Sweet, Stress, Pain, Insomnia, Depression, Lack of Appetite",127.0,16.0
76,Hindu Skunk,Hybrid,"Relaxed, Happy, Euphoric, Sleepy, Hungry, Dry Mouth, Paranoid, Skunk, Earthy, Sweet, Stress, Pain, Insomnia, Depression, Nausea",127.0,16.0
77,Ingrid,Hybrid,"Relaxed, Happy, Sleepy, Euphoric, Hungry, Dry Mouth, Paranoid, Earthy, Skunk, Pain, Inflammation, Stress, Insomnia, Depression",127.0,16.0
78,Island Sweet Skunk,Sativa,"Happy, Uplifted, Energetic, Euphoric, Creative, Dry Mouth, Paranoid, Sweet, Skunk, Stress, Pain, Depression",127.0,30.0
79,J-27,Sativa,"Energetic, Focused, Uplifted, Creative, Euphoric, Anxious, Dry Mouth, Paranoid, Citrus, Orange, Stress, Pain, Nausea",924.3125,30.0
80,Jack Herer,Hybrid,"Happy, Energetic, Uplifted, Creative, Euphoric, Dry Mouth, Paranoid, Anxious, Earthy, Pine, Stress, Depression, Pain, Lack of Appetite",1600.0,16.0
81,Jack the Ripper,Hybrid,"Happy, Energetic, Uplifted, Euphoric, Talkative, Dry Mouth, Paranoid, Anxious, Lemon, Citrus, Earthy, Stress, Depression, Pain",1100.0,16.0
82,Jamaican Pearl,Sativa,"Euphoric, Happy, Uplifted, Creative, Energetic, Dry Mouth, Paranoid, Earthy, Sweet, Stress, Depression, Pain, Nausea",924.3125,30.0
83,Jupiter OG,Hybrid,"Relaxed, Sleepy, Euphoric, Happy, Hungry, Dry Mouth, Paranoid, Pine, Citrus, Insomnia, Pain, Stress, Depression, Nausea",1700.0,16.0
84,Kaboom,Hybrid,"Happy, Uplifted, Energetic, Creative, Euphoric, Dry Mouth, Paranoid, Anxious, Earthy, Pine, Depression, Stress, Pain, Nausea",861.6176470588235,16.0
85,Kahuna,Hybrid,"Uplifted, Euphoric, Relaxed, Creative, Focused, Dry Mouth, Sweet, Orange, Stress, Pain, Depression, Insomnia",861.6176470588235,16.0
86,Kali Mist,Hybrid,"Energetic, Creative, Happy, Focused, Uplifted, Dry Mouth, Anxious, Paranoid, Earthy, Sweet, Citrus, Stress, Pain, Depression, Lack of Appetite, Muscle Spasms",1000.0,16.0
87,Kryptonite,Hybrid,"Relaxed, Happy, Tingly, Uplifted, Euphoric, Dry Mouth, Paranoid, Anxious, Sweet, Earthy, Pine, Pain, Stress, Insomnia, Depression",1600.0,16.0
88,Kushberry,Indica,"Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Anxious, Berry, Sweet, Earthy, Stress, Insomnia, Pain, Depression",858.4444444444445,13.0
89,LA Confidential,Hybrid,"Relaxed, Happy, Sleepy, Euphoric, Uplifted, Dry Mouth, Paranoid, Anxious, Earthy, Pine, Sweet, Stress, Pain, Insomnia, Depression",1300.0,16.0
90,Lavender,Indica,"Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Paranoid, Lavender, Sweet, Stress, Pain, Depression, Insomnia, Nausea",127.0,13.0
91,Lemon G,Hybrid,"Focused, Happy, Relaxed, Uplifted, Creative, Dry Mouth, Paranoid, Lemon, Citrus, Sweet, Pain, Stress, Depression, Inflammation, Nausea",127.0,16.0
92,Lemon Haze,Hybrid,"Happy, Uplifted, Euphoric, Energetic, Relaxed, Dry Mouth, Anxious, Paranoid, Lemon, Citrus, Sweet, Stress, Depression, Pain, Lack of Appetite",1800.0,16.0
93,Lemon Sativa,Sativa,"Happy, Euphoric, Energetic, Creative, Focused, Dry Mouth, Paranoid, Anxious, Lemon, Citrus, Earthy, Pain, Stress, Depression, Insomnia",924.3125,30.0
94,Lions Gate,Hybrid,"Happy, Uplifted, Energetic, Focused, Creative, Dry Mouth, Paranoid, Citrus, Stress, Insomnia, Nausea",861.6176470588235,16.0
95,Liquid Butter,Indica,"Relaxed, Sleepy, Happy, Euphoric, Talkative, Dry Mouth, Paranoid, Earthy, Stress, Insomnia, Pain, Depression",858.4444444444445,13.0
96,M-39,Indica,"Relaxed, Sleepy, Euphoric, Horny, Hungry, Dry Mouth, Paranoid, Earthy, Lemon, Stress, Insomnia, Depression, Pain",858.4444444444445,13.0
97,Madagascar,Indica,"Sleepy, Relaxed, Hungry, Happy, Euphoric, Dry Mouth, Earthy, Sweet, Skunk, Insomnia, Stress, Pain, Muscle Spasms",858.4444444444445,13.0
98,Mako Haze,Hybrid,"Happy, Euphoric, Relaxed, Hungry, Dry Mouth, Paranoid, Citrus, Pine, Earthy, Stress, Depression, Lack of Appetite, Pain",861.6176470588235,16.0
99,Mango,Hybrid,"Relaxed, Euphoric, Happy, Sleepy, Hungry, Dry Mouth, Paranoid, Anxious, Mango, Sweet, Stress, Pain, Depression, Insomnia, Lack of Appetite",127.0,16.0
100,Mango Dream,Hybrid,"Happy, Creative, Euphoric, Relaxed, Focused, Paranoid, Dry Mouth, Sweet, Mango, Earthy, Stress, Pain, Depression",861.6176470588235,16.0
101,Mars OG,Hybrid,"Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid, Pine, Earthy, Stress, Insomnia, Lack of Appetite, Depression",127.0,16.0
102,Master Bubba,Hybrid,"Relaxed, Sleepy, Hungry, Euphoric, Happy, Dry Mouth, Anxious, Earthy, Sweet, Stress, Pain, Insomnia, Lack of Appetite, Inflammation",127.0,16.0
103,Master Kush,Hybrid,"Relaxed, Happy, Sleepy, Euphoric, Hungry, Dry Mouth, Paranoid, Anxious, Earthy, Stress, Pain, Insomnia, Depression",127.0,15.0
104,Maui,Hybrid,"Talkative, Energetic, Happy, Uplifted, Euphoric, Dry Mouth, Anxious, Citrus, Sweet, Depression, Stress, Lack of Appetite",127.0,10.0
105,Mazar I Sharif,Indica,"Relaxed, Euphoric, Happy, Sleepy, Creative, Dry Mouth, Paranoid, Earthy, Insomnia, Stress, Pain, Depression, Lack of Appetite",127.0,13.0
106,Mercury OG,Indica,"Relaxed, Euphoric, Happy, Sleepy, Hungry, Dry Mouth, Paranoid, Earthy, Stress, Pain, Depression, Insomnia, Nausea",127.0,13.0
107,Mexican,Sativa,"Uplifted, Focused, Happy, Hungry, Relaxed, Dry Mouth, Paranoid, Earthy, Depression, Stress, Lack of Appetite",924.3125,30.0
108,Misty Kush,Indica,"Happy, Euphoric, Relaxed, Uplifted, Talkative, Dry Mouth, Paranoid, Sweet, Mango, Lemon, Muscle Spasms, Pain, Insomnia",858.4444444444445,13.0
109,MK Ultra,Hybrid,"Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Paranoid, Earthy, Sweet, Stress, Insomnia, Pain, Depression, Lack of Appetite",127.0,16.0
110,Moby Dick,Hybrid,"Happy, Euphoric, Uplifted, Relaxed, Energetic, Dry Mouth, Paranoid, Anxious, Citrus, Earthy, Sweet, Stress, Depression, Pain",1100.0,16.0
111,Neptune Kush,Indica,"Relaxed, Uplifted, Happy, Hungry, Dry Mouth, Paranoid, Citrus, Pine, Honey, Depression, Insomnia, Stress, Pain, Lack of Appetite",858.4444444444445,13.0
112,Neptune OG,Hybrid,"Relaxed, Sleepy, Hungry, Focused, Happy, Dry Mouth, Paranoid, Anxious, Earthy, Insomnia, Pain, Stress, Muscle Spasms, Nausea",1100.0,16.0
113,Northern Lights,Hybrid,"Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Anxious, Paranoid, Earthy, Pine, Sweet, Stress, Pain, Insomnia, Depression, Lack of Appetite",127.0,16.0
114,Northern Lights #5,Hybrid,"Relaxed, Euphoric, Happy, Focused, Uplifted, Dry Mouth, Paranoid, Sweet, Pine, Citrus, Pain, Stress, Insomnia, Inflammation, Nausea",861.6176470588235,16.0
115,Nuggetry OG,Indica,"Creative, Euphoric, Sleepy, Happy, Dry Mouth, Paranoid, Earthy, Insomnia, Pain, Stress, Nausea, Depression",858.4444444444445,13.0
116,Orange Kush,Hybrid,"Relaxed, Happy, Uplifted, Sleepy, Euphoric, Dry Mouth, Paranoid, Anxious, Citrus, Orange, Sweet, Stress, Pain, Depression, Insomnia, Nausea",861.6176470588235,16.0
117,Panama Red,Hybrid,"Happy, Uplifted, Energetic, Focused, Horny, Dry Mouth, Anxious, Paranoid, Citrus, Pine, Depression, Stress, Pain",861.6176470588235,16.0
118,Papaya,Hybrid,"Relaxed, Sleepy, Happy, Uplifted, Hungry, Dry Mouth, Paranoid, Anxious, Sweet, Stress, Pain, Insomnia, Inflammation",1500.0,16.0
119,Pineapple Thai,Hybrid,"Happy, Relaxed, Euphoric, Focused, Uplifted, Dry Mouth, Paranoid, Pineapple, Sweet, Pain, Muscle Spasms, Stress, Depression",1300.0,16.0
120,Pitbull,Indica,"Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid, Anxious, Earthy, Sweet, Pain, Stress, Depression, Nausea, Insomnia",858.4444444444445,13.0
121,Platinum Bubba Kush,Indica,"Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Paranoid, Earthy, Pain, Stress, Insomnia, Depression, Inflammation",1700.0,13.0
122,Platinum Kush,Hybrid,"Relaxed, Happy, Hungry, Euphoric, Sleepy, Dry Mouth, Paranoid, Anxious, Earthy, Sweet, Stress, Insomnia, Lack of Appetite, Pain, Depression",127.0,16.0
123,Platinum OG,Indica,"Relaxed, Sleepy, Euphoric, Happy, Hungry, Dry Mouth, Paranoid, Anxious, Earthy, Sweet, Stress, Insomnia, Pain, Depression, Lack of Appetite",1600.0,13.0
124,Platinum Purple Kush,Indica,"Relaxed, Euphoric, Happy, Hungry, Uplifted, Dry Mouth, Paranoid, Anxious, Sweet, Berry, Earthy, Insomnia, Stress, Pain, Depression, Lack of Appetite",127.0,13.0
125,Pluto Kush,Indica,"Euphoric, Sleepy, Creative, Hungry, Relaxed, Dry Mouth, Blueberry, Berry, Insomnia, Pain, Stress, Depression, Nausea",858.4444444444445,13.0
126,Poison Haze,Sativa,"Energetic, Happy, Relaxed, Uplifted, Dry Mouth, Paranoid, Citrus, Orange, Depression, Insomnia, Nausea, Pain, Stress",924.3125,30.0
127,Pot of Gold,Hybrid,"Relaxed, Sleepy, Euphoric, Hungry, Uplifted, Paranoid, Anxious, Dry Mouth, Sweet, Grape, Pineapple, Insomnia, Pain, Lack of Appetite, Stress",127.0,16.0
128,Power Kush,Hybrid,"Relaxed, Sleepy, Euphoric, Happy, Uplifted, Paranoid, Dry Mouth, Anxious, Sweet, Skunk, Lime, Stress, Pain, Depression, Muscle Spasms",127.0,16.0
129,Power Plant,Hybrid,"Happy, Uplifted, Relaxed, Euphoric, Energetic, Dry Mouth, Paranoid, Earthy, Pain, Stress, Depression, Inflammation",1200.0,16.0
130,Pure Afghan,Hybrid,"Relaxed, Sleepy, Happy, Hungry, Creative, Dry Mouth, Paranoid, Earthy, Insomnia, Pain, Stress, Depression",861.6176470588235,16.0
131,Pure Kush,Indica,"Relaxed, Sleepy, Euphoric, Happy, Hungry, Dry Mouth, Paranoid, Earthy, Skunk, Pain, Insomnia, Stress, Nausea",1900.0,13.0
132,Pure OG,Indica,"Relaxed, Sleepy, Happy, Euphoric, Uplifted, Dry Mouth, Paranoid, Earthy, Pine, Stress, Pain, Insomnia, Nausea, Inflammation",1500.0,13.0
133,Purple Afghani,Hybrid,"Relaxed, Sleepy, Happy, Euphoric, Uplifted, Dry Mouth, Anxious, Sweet, Grape, Stress, Pain, Insomnia, Depression",116.0,16.0
134,Purple Buddha,Hybrid,"Euphoric, Relaxed, Happy, Creative, Focused, Dry Mouth, Paranoid, Berry, Sweet, Grape, Insomnia, Stress, Pain, Depression",861.6176470588235,16.0
135,Purple Candy,Hybrid,"Relaxed, Happy, Sleepy, Euphoric, Hungry, Dry Mouth, Paranoid, Sweet, Grape, Earthy, Insomnia, Stress, Pain, Depression, Muscle Spasms",861.6176470588235,16.0
136,Purple Cream,Hybrid,"Relaxed, Happy, Sleepy, Hungry, Dry Mouth, Paranoid, Anxious, Pine, Sweet, Stress, Pain, Insomnia, Depression",127.0,16.0
137,Purple Dragon,Indica,"Relaxed, Euphoric, Uplifted, Happy, Dry Mouth, Paranoid, Anxious, Grape, Earthy, Sweet, Stress, Insomnia, Depression, Pain",1200.0,13.0
138,Purple Goo,Hybrid,"Relaxed, Euphoric, Happy, Talkative, Hungry, Dry Mouth, Paranoid, Lavender, Pine, Stress, Pain, Depression",861.6176470588235,16.0
139,Purple Haze,Hybrid,"Euphoric, Happy, Uplifted, Relaxed, Creative, Dry Mouth, Paranoid, Earthy, Sweet, Berry, Depression, Stress, Pain",127.0,16.0
140,Purple Kush,Hybrid,"Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid, Earthy, Berry, Grape, Stress, Pain, Insomnia, Depression, Muscle Spasms",127.0,5.0
